2000;1;0,079702;0,032055;1
2000;2;0,063238;0,016301;1,966443776
2000;3;0,057659;0,010859;2,951929275
2000;4;0,05511;0,008201;3,908669674
2000;5;0,053251;0,0066;4,856818182
2000;6;0,052115;0,005563;5,762178681
2000;7;0,051162;0,004807;6,66840025
2000;8;0,050939;0,004281;7,48773651
2000;9;0,050662;0,003842;8,343310776
2000;10;0,050847;0,003887;8,246719835
2000;11;0,050514;0,00324;9,893518519
2000;12;0,049696;0,003007;10,66012637
2000;13;0,049269;0,002819;11,37105357
2000;14;0,049518;0,002683;11,94744689
2000;15;0,049273;0,002536;12,63998423
2000;16;0,04928;0,002432;13,18050987
2000;17;0,048966;0,002307;13,8946684
2000;18;0,04872;0,002242;14,29750223
;;;
;;;
4000;1;0,312737;0,128365;1
4000;2;0,250284;0,064996;1,97496769
4000;3;0,233109;0,043566;2,946449066
4000;4;0,218828;0,032718;3,923375512
4000;5;0,211467;0,026252;4,889722688
4000;6;0,210894;0,021965;5,844070112
4000;7;0,203867;0,018823;6,819582426
4000;8;0,201343;0,016583;7,740758608
4000;9;0,203881;0,01484;8,649932615
4000;10;0,19854;0,01334;9,622563718
4000;11;0,197217;0,012211;10,51224306
4000;12;0,199789;0,011295;11,36476317
4000;13;0,195892;0,010499;12,22640251
4000;14;0,197571;0,009834;13,05318284
4000;15;0,195604;0,009181;13,98159242
4000;16;0,211891;0,008797;14,59190633
4000;17;0,194673;0,008237;15,58395047
4000;18;0,193143;0,007852;16,34806419
;;;
;;;
8000;1;1,24587;0,513546;1
8000;2;0,994245;0,260846;1,968770846
8000;3;0,912747;0,173127;2,966296418
8000;4;0,865042;0,130136;3,946225487
8000;5;0,836806;0,104136;4,931493432
8000;6;0,82147;0,08692;5,908260469
8000;7;0,806274;0,074674;6,877172778
8000;8;0,799441;0,065615;7,82665549
8000;9;0,799512;0,058158;8,830186733
8000;10;0,785947;0,052475;9,786488804
8000;11;0,781881;0,047833;10,73622813
8000;12;0,777942;0,04396;11,68212011
8000;13;0,778507;0,040532;12,67013718
8000;14;0,77033;0,037729;13,61143948
8000;15;0,76811;0,035324;14,53816102
8000;16;0,764657;0,033381;15,38438034
8000;17;0,764946;0,031303;16,40564802
8000;18;0,76787;0,029592;17,35421736
;;;
;;;
16000;1;4,950792;2,049721;1
16000;2;3,932234;1,043241;1,964762696
16000;3;3,595875;0,697236;2,939780792
16000;4;3,430099;0,522728;3,921199936
16000;5;3,323941;0,417919;4,904589167
16000;6;3,246639;0,347597;5,896831676
16000;7;3,192644;0,299196;6,850763379
16000;8;3,163333;0,260369;7,872369599
16000;9;3,118544;0,231234;8,86427169
16000;10;3,105725;0,208133;9,848130763
16000;11;3,071954;0,189096;10,83957884
16000;12;3,059101;0,17373;11,79831347
16000;13;3,048425;0,160205;12,79436347
16000;14;3,033988;0,149016;13,75503973
16000;15;3,03508;0,139174;14,72775806
16000;16;3,01625;0,131088;15,63622147
16000;17;3,009343;0,123164;16,64220876
16000;18;2,99985;0,116217;17,63701524
;;;
;;;
32000;1;19,625243;8,184929;1
32000;2;15,591288;4,168456;1,963539737
32000;3;14,263612;2,781638;2,942485327
32000;4;13,564963;2,092208;3,912100996
32000;5;13,146922;1,674462;4,888094803
32000;6;12,849428;1,394423;5,869760467
32000;7;12,637621;1,190739;6,873822895
32000;8;12,505738;1,050796;7,789265471
32000;9;12,36682;0,929459;8,806121626
32000;10;12,313945;0,836919;9,77983413
32000;11;12,1974;0,762688;10,73168714
32000;12;12,138683;0,698421;11,71919086
32000;13;12,099127;0,646125;12,66771755
32000;14;12,095119;0,599645;13,64962436
32000;15;12,003664;0,562065;14,56224636
32000;16;11,996731;0,525073;15,58817345
